url,title,date
https://www.youtube.com/watch?v=MG7IkHAh7T0,Prea Mult Banciu - 5 Decembrie | Ultima sută de metri către Primăria Bucureștiului!,2024-12-05
https://www.youtube.com/watch?v=PVXllWlJWv0,Prea Mult Banciu - 27 Noiembrie | Putin a declarat că nu avea de gând să atace Europa!,2024-11-27
https://www.youtube.com/watch?v=KEkiBTW1G9w,"Prea Mult Banciu - 25 Noiembrie | Românii n-au doborât drona, așa că aceasta ""s-a doborât"" singură!",2024-11-25
https://www.youtube.com/watch?v=VQctZpF0Sos,"Prea Mult Banciu - 17 Noiembrie | Candidații la Primăria București, umăr la umăr în sondaje",2024-11-17
https://www.youtube.com/watch?v=0DJcjYwJiII,Prea Mult Banciu - 11 Noiembrie | Seară de lectură cu Radu Banciu!,2024-11-11
https://www.youtube.com/watch?v=lrpOBLBawT0,"PreaMultBanciu - 3 Noiembrie | Simion și Grindeanu, singuri competitori pentru șefia partidelor lor!",2024-11-03
https://www.youtube.com/watch?v=G0xVJ2Yk-pg,Prea Mult Banciu - 31 Octombrie | George Simion solicită protecție pentru el și familia sa,2024-10-31
https://www.youtube.com/watch?v=tPQeAj7W_kY,"Prea Mult Banciu - 29 Octombrie | Pleacă americanii, dar...și rămân!",2024-10-29
https://www.youtube.com/watch?v=PkJpzQzaUko,"Prea Mult Banciu - 22 Octombrie | Grindeanu îl ""bombardează"" public pe Bolojan",2024-10-22
https://www.youtube.com/watch?v=n_h3w0ETtkw,Prea Mult Banciu - 16 Octombrie | Piedone adoarme cu valeriană și doarme dus,2024-10-16
https://www.youtube.com/watch?v=JwN3Myn9FbY,"PreaMultBanciu-14 Octombrie | PSD, din ""progresist"" în partid cu „valori religioase și tradiționale”",2024-10-14
https://www.youtube.com/watch?v=-r3FcC9erqo,"Prea Mult Banciu - 9 Octombrie | Oprescu își micșorează pedeapsa cu 1 an, direct din Grecia!",2024-10-09
https://www.youtube.com/watch?v=eEElPQQgj1Q,Prea Mult Banciu - 17 Septembrie | Călin Georgescu se consideră Donald Trump de România!,2024-09-17
